Nome,Totale
BASKARAN,4
BEATRIZ,4
BENJAMIN,4
BERARDINO,4
BIAGIA,4
BLERINA,4
BRAHIM,4
BRENDA,4
CALOGERO,4
CANDIDA,4
CARLA MARIA,4
CASSANDRA,4
CHIARA LUCIA,4
CHIARASTELLA,4
CHIARINA,4
CHRISTOPHER,4
CLARA MARIA,4
CLEMENTE,4
CLOE,4
CONCETTA MARIA,4
CORNELIA,4
COSIMA MARIA,4
COSIMO FRANCESCO,4
COSIMO GIUSEPPE,4
CRISTEL,4
CROCEFISSO,4
DAMIANO COSIMO,4
DANIA,4
DANUTA,4
DEMETRIO,4
DESDEMONA,4
DESIRE'E,4
DHURATA,4
DIEGO ANTONIO,4
DILETTA MARIA,4
DOMENICO ANTONIO,4
DORIS,4
DUILIO,4
EDOARDO MARIA,4
EDVIGE,4
ELENI,4
ELVIS,4
EMANUEL,4
ENRICO MARIA,4
ERRICA,4
ERSILIA,4
FAITH,4
FATIHA,4
FATJON,4
FATMIRA,4
FEDERICA ANNA,4
FEDERICA MARIA,4
FELICETTA,4
FELICITA,4
FIORENZO,4
FLORIDA,4
FRANCESCO CARLO,4
FRANCESCO MICHELE,4
FRANCESCO ROSARIO,4
FURIO,4
GABRIELE GIUSEPPE,4
GEORGETA,4
GERMANO,4
GIADA MARIA,4
GIAMMARIA,4
GIAN PIERO,4
GIANGIACOMO,4
GIOVANNA RITA,4
GIOVANNI COSIMO,4
GIOVANNI FRANCO,4
GIOVANNINA,4
GIOVINA,4
GIUSEPPE MARIA,4
GIUSEPPE ROCCO,4
GIUSEPPE VITO,4
GUALTIERO,4
GURPREET,4
HAMID,4
HASAN,4
INNOCENZO,4
IRYNA,4
ISMAIL,4
JASMIN,4
JOEL,4
JOHN,4
JOSE',4
JOSHUA,4
KAMAL,4
KHADY,4
KUJTIM,4
LIBORIO,4
LIN,4
LIVIANA,4
LORETTA,4
LORIANA,4
LUCIA GIUSEPPA,4
LUMTURI,4
MADAN LAL,4
MAIA,4
MALICK,4
MANILA,4
MARIA ADELE,4
MARIA ALBA,4
MARIA AZZURRA,4
MARIA CARLA,4
MARIA CARMEN,4
MARIA CESARIA,4
MARIA CLAUDIA,4
MARIA FEDERICA,4
MARIA FRANCA,4
MARIA GILDA,4
MARIA GIULIANA,4
MARIA IOLANDA,4
MARIA LORETA,4
MARIA LUANA,4
MARIA LUCIANA,4
MARIA NADIA,4
MARIA NEVE,4
MARIA NOVELLA,4
MARIA ROBERTA,4
MARIA VALERIA,4
MARIA VIRGINIA,4
MARIAGABRIELLA,4
MARIALAURA,4
MARIALUCIA,4
MARICEL,4
MARIE,4
MARIOLINA,4
MARIYA,4
MARK ANTHONY,4
MARTINA MARIA,4
MARY,4
MATIAS,4
MAYA,4
MELANIE,4
MIREA,4
MIRYAM,4
MOHAMMAD,4
MOUHAMED,4
NATHALIE,4
NDIAGA,4
NELLA,4
NICOLA LUIGI,4
