cognome,totale
FARAONI,23
MUGNAINI,23
BIGONGIARI,23
POPA,23
BARDELLI,23
PALAMIDESSI,23
ACCORDINO,23
GARZELLA,23
GUIDA,23
BIRINDELLI,23
STAGI,23
CAMPANA,23
BARZACCHI,23
SALANI,23
DIOUF,23
CAIOLI,23
MANFREDINI,23
CELATI,23
MARZINI,23
ORLANDO,23
BAGLIVO,23
GAMUCCI,23
MAGRI,23
ROMAGNOLI,23
TEDESCO,23
DE GIULLI,23
TACCONI,23
LAVIOSA,23
RIGOLI,23
NAZZARRI,23
DI COCCO,23
BARINCI,23
DE GREGORIO,23
MONTANELLI,23
RAFFALLI,23
ARGENTI,23
GUALANDI,22
SARR,22
DEL BRAVO,22
ROVINI,22
ANSELMI,22
CIRILLO,22
CARDIA,22
TESSARI,22
DI LUCA,22
TOMA,22
DI NASSO,22
NICOLOSI,22
FINOCCHIARO,22
COLLAVERI,22
LOPEZ,22
CHICHIZZOLA,22
PASTORE,22
BUSCARINO,22
MANCINO,22
ARCHIBUSACCI,22
BIANUCCI,22
CROVETTI,22
BOSCO,22
DORIA,22
TURIO,22
GIRARDI,22
PAOLINETTI,22
NANNINI,22
RISPOLI,22
COCCHINI,22
GRANCHI,22
PUPI,22
ERCOLINI,22
CASOLI,22
FARNESI,22
TURBATI,22
MOCHI,22
BONO,22
BRONGO,22
BANCHELLI,22
GOTI,22
AGARINI,22
AQUILINI,22
RONDINA,22
BERTONCINI,22
LIN,22
SUCCI,22
DOMENICHINI,22
VACCARI,22
CESARI,22
NOBILE,22
VITALI,22
PICCHIOTTI,22
COCCO,22
CIANCI,22
CATELLI,22
ERCOLI,22
SCHIAVONE,22
TELLOLI,22
SANFILIPPO,22
CATANORCHI,22
MAMBRINI,22
NATI,22
CRESTI,22
DAIU,22
PALOMBO,22
COLOMBA,22
CALABRO',22
FORNAI,22
MATTERA,22
PUGLIA,22
TASSARA,22
FILIPPELLI,22
MARRACCINI,22
ZHOU,22
BEVILACQUA,22
BARBARO,22
FORMICHI,21
MUZZI,21
SBARRA,21
SALEMMI,21
VISCIANO,21
FALANGA,21
SULA,21
MAZZOTTA,21
LO GIUDICE,21
ARMANI,21
CREMONINI,21
GRIFONI,21
SOLDATINI,21
MARTINUCCI,21
AGOSTINETTI,21
AQUINO,21
CALVI,21
PIERUCCI,21
PAOLOTTI,21
BOCCINI,21
VERUGI,21
PANCRAZI,21
MORREALE,21
SIDOTI,21
GIUGNI,21
LAZZARA,21
CARNEVALI,21
BIONDO,21
TURINELLI,21
DODOLI,21
SUICH,21
BURRONI,21
MENGHERI,21
CHIAPPONI,21
LUCHETTI,21
MERLI,21
CUOMO,21
VENUTA,21
FABBRIZI,21
MOSCARDINI,21
MAENZA,21
RENDA,21
LORENZONI,21
AVANZONI,21
ZANOBINI,21
POTENZA,21
PELOSINI,21
MONTANARI,21
BRACHINI,21
LULLI,21
CORRADI,21
LUPPICHINI,21
TOMATI,21
SANGUINETTI,21
FALENI,21
BATTISTINI,21
GALLIGANI,21
CORSANI,21
VERZONI,21
MAGNELLI,21
DE ANGELIS,21
FOGLI,21
CELA,21
GAROFALO,21
TANOZZI,21
BERTOZZI,21
VERNACCINI,21
AGILLI,21
MONTELEONE,21
FILIPPESCHI,21
CENTELLI,21
BORGHI,21
PORCU,21
GIORGINI,21
MIGLIACCIO,21
PASQUALETTI,21
GRANATA,21
PISCITELLI,21
NASTASIO,20
TRAVERSI,20
GHILARDUCCI,20
BACHECHI,20
CIARI,20
BRONCHI,20
D'APICE,20
PESSI,20
LO,20
VENEZIANI,20
BALLINI,20
FRASSINELLI,20
CARMASSI,20
FAYE,20
BADALASSI,20
BERRETTA,20
FERRACCI,20
CATELANI,20
VINCIGUERRA,20
MENICI,20
ANCILLOTTI,20
LUCI,20
RAIOLA,20
AMBROGI,20
PERUGINO,20
SANTINELLI,20
PAGANUCCI,20
BONACCI,20
SCANNAPIECO,20
SECHI,20
RIVA,20
CASTELLANO,20
ANGELINI,20
PALAGI,20
MARRAS,20
MARRA,20
D'AMICIS,20
GERI,20
PIROLI,20
D'AURIA,20
CANTONE,20
BUONACCORSI,20
TANTARDINI,20
TERZI,20
TABANI,20
PARENTE,20
BORGIOLI,20
BOTTICI,20
MORI UBALDINI,20
PALERMO,20
FIGLIOLINO,20
FANI,20
SERRAGLINI,20
COLUCCI,20
BARBERA,20
BARGIGLI,20
MARCHIO',20
BATTOCCHI,20
DELLA VALLE,20
DI NATALE,20
MEOZZI,20
LATINI,20
ANDORLINI,20
REALI,20
DI FIANDRA,20
BELLO,20
TINTI,20
VACCA,20
URUCI,20
BARGELLINI,20
VERUCCI,20
FADDA,20
CARNESECCHI,20
SCOTTI,20
SAMMARTANO,20
MANGONI,20
CHICCA,20
DOVICCHI,20
TEI,20
EVANGELISTA,20
FASULO,20
AVELARDI,20
TABAKU,20
ORRU',20
