"CODICE CORSO DI STUDI";"CORSO DI STUDI";"CODICE TIPOLOGIA";TIPOLOGIA;URL;
010802;"IGIENE E TECNOLOGIA DELLE CARNI";SP3;"Scuola di Specializzazione";;
102513;"AMMINISTRAZIONE E CONTROLLO AZIENDALE";LM;"Laurea Magistrale";http://www.aca.unito.it;
092105;"INFORMATION SYSTEMS INTEGRATION AND AUDITING";M1;"Master di Primo Livello";;
700967;"MEDICINA DELLA RIPRODUZIONE UMANA E TECNICHE DI FECONDAZIONE IN VITRO";M2;"Master di Secondo Livello";;
700958;"DISTURBI DELLO SVILUPPO E DIFFICOLTA' DI APPRENDIMENTO";M1;"Master di Primo Livello";;
011505;"PSICOLOGIA DEL LAVORO E DEL BENESSERE NELLE ORGANIZZAZIONI";LM;"Laurea Magistrale";http://www.psicologia.unito.it;
090124;"MANAGEMENT OF DEVELOPMENT";M1;"Master di Primo Livello";;
700939;VULNOLOGIA;M1;"Master di Primo Livello";;
091701;"SCIENZE DELLE ATTIVITÀ MOTORIE E SPORTIVE";L;"Laurea triennale (DM270)";http://scienzemotorie.campusnet.unito.it/do/home.pl;
091504;"SCIENZE E TECNICHE AVANZATE DELLO SPORT";LM;"Laurea Magistrale";http://scienzesport.campusnet.unito.it/do/home.pl;
007930;"MEDICINA PALLIATIVA";M2;"Master di Secondo Livello";;
700962;"CHIRURGIA TORACICA ONCOLOGICA";M2;"Master di Secondo Livello";;
092128;"GENERAL MANAGEMENT";M1;"Master di Primo Livello";;
700969;"MODELLI E METODI DELLA TUTORSHIP NELLA FORMAZIONE E SVILUPPO DELLE PROFESSIONI INFERMIERISTICHE E OSTETRICA";M1;"Master di Primo Livello";;
070717;"INFERMIERISTICA PEDIATRICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE PEDIATRICO)";L;"Laurea triennale (DM270)";http://pediatrica.campusnet.unito.it/cgi-bin/home.pl;
102125;"ECONOMIA, MANAGEMENT, PROMOZIONE E VALORIZZAZIONE DEL TURISMO";M1;"Master di Primo Livello";;
090130;"QUALITA', SICUREZZA ALIMENTARE E SOSTENIBILITA' DELLA FILIERA DEL LATTE";M2;"Master di Secondo Livello";;
009711;"SERVIZIO SOCIALE";L;"Laurea triennale (DM270)";http://www.didattica-cps.unito.it/do/home.pl/View?doc=corsi_di_studio/CLASS_servizio_sociale/presentazione.html;
092401;"GESTIONE, VALUTAZIONE E CONTROLLO DELLE POLITICHE SOCIALI";CAFP;"Corsi di alta formazione professionale";;
007812;GASTROENTEROLOGIA;SP5;"Scuola di Specializzazione";;
102112;FINANCE;M2;"Master di Secondo Livello";;
005503;"ANTROPOLOGIA CULTURALE ED ETNOLOGIA";LM;"Laurea Magistrale";http://www.didattica-cps.unito.it;
008530;"EVOLUZIONE DEL COMPORTAMENTO ANIMALE E DELL'UOMO";LM;"Laurea Magistrale";http://naturali.campusnet.unito.it/do/home.pl/View?doc=HomePageLM_ECAU.html;
092134;"IT GOVERNANCE AND COMPLIANCE";M1;"Master di Primo Livello";;
009507;"SCIENZE DEL GOVERNO";LM;"Laurea Magistrale";http://www.didattica-cps.unito.it/do/home.pl/View?doc=corsi_di_studio/SCIGOV_scienze_governo/presentazione.html;
071803;"ANESTESIA RIANIMAZIONE E TERAPIA INTENSIVA";SP5;"Scuola di Specializzazione";;
071812;UROLOGIA;SP5;"Scuola di Specializzazione";;
057205;"A047 - MATEMATICA";TFA;"Tirocinio formativo attivo";;
057210;"A061 - STORIA DELL'ARTE";TFA;"Tirocinio formativo attivo";;
090132;"ANALISI DATI PER LA BUSINESS INTELLIGENCE";M1;"Master di Primo Livello";;
700979;"MEDICINA DELLA RIPRODUZIONE UMANA E TECNICHE DI FECONDAZIONE IN VITRO";M2;"Master di Secondo Livello";;
1502M21;"PSICOLOGIA CRIMINOLOGICA E FORENSE";LM;"Laurea Magistrale";http://www.psicologia.unito.it;
006401;"DIDATTICA E PSICOPEDAGOGIA PER I DISTURBI SPECIFICI DI APPRENDIMENTO";CAFP;"Corsi di alta formazione professionale";;
009401;"GESTIONE, VALUTAZIONE E CONTROLLO DELLE POLITICHE SOCIALI";CAFP;"Corsi di alta formazione professionale";;
102406;"STRUMENTI MANAGERIALI PER LA MITIGAZIONE DEL DIGITAL DIVIDE COME FATTORE CRITICO DEL WELFARE: LA MEDIA LITERACY";CAFP;"Corsi di alta formazione professionale";;
M12001;"ICT E PROGETTAZIONE AVANZATA";M1;"Master di Primo Livello";;
CSS1001;"CORSO DI FORMAZIONE PER IL CONSEGUIMENTO DELLA SPECIALIZZAZIONE PER LE ATTIVITA' DI SOSTEGNO";CSS;"Specializzazione per le attività di sostegno";;
M21006;"TERAPIA DEL DOLORE";M2;"Master di Secondo Livello";;
PAS001;"A030 - SCIENZE MOTORIE E SPORTIVE";PAS;"Percorso abilitante speciale";;
PAS005;"A013 - CHIMICA E TECNOLOGIE CHIMICHE";PAS;"Percorso abilitante speciale";;
M11011;"PUBLIC PROCUREMENT MANAGEMENT FOR SUSTAINABLE DEVELOPMENT";M1;"Master di Primo Livello";;
CFP008;"PERCORSI DI CITTADINANZA";CAFP;"Corsi di alta formazione professionale";;
CFP010;"INNOVAZIONE NELLA DIDATTICA E VALUTAZIONE DI QUALITA' PER LA SCUOLA";CAFP;"Corsi di alta formazione professionale";;
CFP034;"I PRODOTTI DI INVESTIMENTO E FINANZIAMENTO";CAFP;"Corsi di alta formazione professionale";;
CFP017;"SICUREZZA E TUTELA DELLA SALUTE NEI LUOGHI DI LAVORO";CAFP;"Corsi di alta formazione professionale";;
CFP020;"TECNICHE PER IL FUNDRAISING DI PROGETTI DI SUSSIDIARIETÀ ED ECONOMIA CIVILE";CAFP;"Corsi di alta formazione professionale";;
CFP021;"AUTOVALUTAZIONE E MODELLI DI ECCELLENZA NELLA SCUOLA";CAFP;"Corsi di alta formazione professionale";;
CFP028;"NUOVE TECNICHE E STRUMENTI PER L’INSEGNAMENTO DELLE DISCIPLINE MANAGERIALI";CAFP;"Corsi di alta formazione professionale";;
M21002;"CHIRURGIA ROBOTICA E LAPAROSCOPICA AVANZATA IN UROLOGIA";M2;"Master di Secondo Livello";;
M21007;UROGINECOLOGIA;M2;"Master di Secondo Livello";;
1505M21;"SCIENZE DEL CORPO E DELLA MENTE";LM;"Laurea Magistrale";http://www.psicologia.unito.it;
1501M21;"PSICOLOGIA CLINICA: SALUTE E INTERVENTI NELLA COMUNITA'";LM;"Laurea Magistrale";;
PAS013;"A039 - GEOGRAFIA";PAS;"Percorso abilitante speciale";;
PAS018;"A057 - SCIENZA DEGLI ALIMENTI";PAS;"Percorso abilitante speciale";;
PASA02;"A059 - MATEMATICHE E SCIENZE NELLA SCUOLA SECONDARIA DI I GRADO (UPO)";PAS;"Percorso abilitante speciale";;
PAS023;"A245 - LINGUA STRANIERA (FRANCESE)";PAS;"Percorso abilitante speciale";;
SSST4;"SCUOLA DI STUDI SUPERIORI FERDINANDO ROSSI IV ANNO";ECC;"Istituto d`eccellenza";;
CFP038;"DIRITTO DELLA MEDIAZIONE E DELL'ARBITRATO";CAFP;"Corsi di alta formazione professionale";;
0205M21;CHIMICA;LM;"Laurea Magistrale";;
TFA031;"A069 - TECNOLOGIE  GRAFICHE ED IMPIANTI GRAFICI";TFA;"Tirocinio formativo attivo";;
TFA056;"A029,A030: EDUCAZIONE FISICA NEGLI ISTITUTI E SCUOLE DI ISTRUZIONE SECONDARIA II GRADO, SCIENZE MOTORIE E SPORTIVE";TFA;"Tirocinio formativo attivo";;
M21013;"CHIRURGIA ORTOGNATICA E DELLE MALFORMAZIONI MASCELLARI";M2;"Master di Secondo Livello";;
M21011;"DIAGNOSI E TERAPIA DELLA MALATTIA DI ALZHEIMER E DELLE ALTRE DEMENZE";M2;"Master di Secondo Livello";;
M22009;"MODELLI E METODI DELLA TUTORSHIP NELLA FORMAZIONE INFERMIERISTICA ED OSTETRICA";M1;"Master di Primo Livello";;
TFA028;"A012 - CHIMICA AGRARIA";TFA;"Tirocinio formativo attivo";;
TFA018;"A032 - EDUCAZIONE MUSICALE NELLA SCUOLA MEDIA";TFA;"Tirocinio formativo attivo";;
PAS031;"C510 - TECNICA DEI SERVIZI ED ESERCITAZIONI PRATICHE DI SALA BAR";PAS;"Percorso abilitante speciale";;
004204;"SCIENZE GIURIDICHE PER LE AMMINISTRAZIONI PUBBLICHE E LE IMPRESE";LS;"Laurea specialistica";;
008233;"BIOLOGIA VEGETALE";LS;"Laurea specialistica";http://biologia.campusnet.unito.it;
070318;"DIETISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI DIETISTA)";LT;"Laurea triennale (DM509)";www.medicina.unito.it;
102325;"ECONOMIA E GESTIONE DELLE IMPRESE";LT;"Laurea triennale (DM509)";www.econ.unito.it;
070302;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - (SEDE DI ORBASSANO)";LT;"Laurea triennale (DM509)";http://medtriennalisl.campusnet.unito.it;
008303;FISICA;LT;"Laurea triennale (DM509)";www.ph.unito.it;
003301;"TECNICHE ERBORISTICHE";LT;"Laurea triennale (DM509)";www.pharm.unito.it;
009318;"SOCIOLOGIA E RICERCA SOCIALE (EX SCIENZE SOCIALI COMPARATE - A.A. 2001-02)";LT;"Laurea triennale (DM509)";www.scipol.unito.it;
001212;"PROGETTAZIONE DI GIARDINI, PARCHI E PAESAGGIO";LS;"Laurea specialistica";;
009202;"SCIENZE POLITICHE";LS;"Laurea specialistica";www.scipol.unito.it;
008217;"REALTÀ VIRTUALE E MULTIMEDIALITÀ";LS;"Laurea specialistica";www.scienzemfn.unito.it;
006303;"MULTIMEDIALITA' E DISCIPLINE DELL'ARTE, DELLA MUSICA E DELLO SPETTACOLO";LT;"Laurea triennale (DM509)";www.sciform.unito.it;
090303;"SCIENZE E CULTURA DELLE ALPI";LT;"Laurea triennale (DM509)";;
008305;"SCIENZE BIOLOGICHE";LT;"Laurea triennale (DM509)";www.biologia.unito.it;
102203;ECONOMIA;LS;"Laurea specialistica";www.econ.unito.it;
004303;"DIRITTO ED ECONOMIA PER L'IMPRESA";LT;"Laurea triennale (DM509)";www.giurisprudenza.unito.it;
012201;"LINGUE E LETTERATURE MODERNE";LS;"Laurea specialistica";www.lingue.unito.it;
012311;"CORSO DI LAUREA IN LINGUE E CULTURE DELL'ASIA E DELL'AFRICA";LT;"Laurea triennale (DM509)";www.lingue.unito.it;
091201;"MANAGER DELLE ATTIVITA' FISICHE E SPORTIVE";LS;"Laurea specialistica";http://hal9000.cisi.unito.it/scienzemotorie/;
008302;"CHIMICA INDUSTRIALE";LT;"Laurea triennale (DM509)";www.chimicaindustriale.unito.it;
090203;"PSICO-BIOLOGIA DEI PROCESSI MOTIVAZIONALI E AFFETTIVI";LS;"Laurea specialistica";www.psicologia.unito.it;
090306;"COMUNICAZIONE SCIENTIFICA";LT;"Laurea triennale (DM509)";;
008235;"BIOTECNOLOGIE INDUSTRIALI";LS;"Laurea specialistica";www.scienzemfn.unito.it;
090311;"CONSERVAZIONE E RESTAURO DEI BENI CULTURALI";LT;"Laurea triennale (DM509)";www.scienzemfn.unito.it;
090309;"TECNICHE DELLA PREVENZIONE NELL'AMBIENTE E NEI LUOGHI DI LAVORO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DELLA PREVENZIONE NELL'AMBIENTE E NEI LUOGHI DI LAVORO)";LT;"Laurea triennale (DM509)";;
290211;"SCIENZE VITICOLE ED ENOLOGICHE";LS;"Laurea specialistica";www.agraria.unito.it;
290201;"LAUREA SPECIALISTICA IN CULTURE MODERNE COMPARATE";LS;"Laurea specialistica";www.lettere.unito.it;
009309;"STUDI INTERNAZIONALI";LT;"Laurea triennale (DM509)";www.scipol.unito.it;
070322;"INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)";LT;"Laurea triennale (DM509)";www.climolinette.unito.it;
056502;"BIOTECNOLOGIE VEGETALI";LM;"Laurea Magistrale";http://agraria-offdid.campusnet.unito.it/do/home.pl/View?doc=paginecds/biotecn_veg_270_magistrale.html;
102703;"ECONOMIA AZIENDALE";L;"Laurea triennale (DM270)";http://www.ecoaz.unito.it;
001502;"SCIENZE ZOOTECNICHE";LM;"Laurea Magistrale";http://agraria-offdid.campusnet.unito.it/do/home.pl/View?doc=paginecds/sc_zootecn_270_magistrale.html;
008706;"SCIENZA DEI MATERIALI";L;"Laurea triennale (DM270)";http://scienzadeimateriali.campusnet.unito.it/cgi-bin/home.pl;
102702;"COMMERCIO INTERNAZIONALE";L;"Laurea triennale (DM270)";www.econ.unito.it;
